User_ID,Movie_ID,Rating
6,299,4
6,269,5
6,143,1
6,76,3
6,44,5
6,8,4
7,285,3
7,273,2
7,199,4
7,191,4
7,187,2
7,175,4
7,148,3
7,118,3
7,30,4
7,26,5
79,295,4
79,262,5
79,208,3
79,197,4
79,175,4
79,138,5
79,111,4
79,108,4
97,295,2
97,257,4
97,191,5
97,79,4
97,30,4
134,295,4
134,290,3
134,268,5
134,256,4
134,208,3
134,165,3
134,118,4
134,45,5
134,33,5
134,30,4
134,28,4
169,241,1
169,197,1
169,52,4
183,270,2
183,111,5
183,78,4
188,255,4
188,223,4
188,197,4
188,191,4
188,118,3
188,55,4
188,28,4
188,3,5
195,252,3
195,201,4
195,175,3
195,17,4
199,270,3
199,257,1
199,253,4
199,223,4
199,175,4
199,30,4
199,28,4
201,299,4
201,270,5
201,191,4
201,167,4
201,83,2
201,76,2
201,44,1
265,299,5
265,285,3
265,275,2
265,216,4
265,143,5
265,78,4
265,44,4
265,30,3
265,28,4
268,216,3
268,167,2
268,143,5
268,108,4
283,299,4
283,175,4
283,108,3
283,30,4
283,18,4
291,199,3
291,148,5
296,275,4
296,240,4
296,197,3
298,299,3
298,197,4
298,175,4
302,299,3
302,191,4
302,181,5
304,189,3
304,175,4
305,269,3
305,225,5
305,215,2
305,77,4
305,28,5
383,299,5
383,273,4
383,262,4
383,241,4
383,191,4
383,187,5
383,28,4
424,275,3
424,175,5
424,84,4
424,77,2
424,26,3
437,285,4
437,273,4
437,175,3
437,143,4
437,111,3
437,18,3
462,241,3
462,191,5
462,189,2
462,175,3
462,156,4
462,111,5
462,48,4
477,290,4
477,281,4
477,213,4
477,58,5
477,30,1
481,269,4
481,208,3
481,199,4
481,197,3
481,191,5
481,187,2
481,175,3
481,97,4
481,30,3
485,299,4
527,269,4
527,255,4
527,199,5
527,197,4
527,143,5
527,110,4
527,33,2
527,30,1
536,77,1
536,30,3
561,290,2
561,257,3
561,197,3
561,191,3
561,28,4
592,295,3
592,269,3
592,256,4
592,241,2
592,213,5
592,197,4
592,111,4
592,28,3
596,269,4
596,199,4
596,55,4
602,241,3
602,232,3
602,199,4
602,143,4
602,118,1
602,77,4
602,30,3
609,197,3
609,191,3
609,189,4
609,175,4
609,30,4
609,28,1
614,270,4
614,175,5
614,143,4
614,111,5
684,252,4
684,197,4
684,191,3
684,187,4
684,143,3
684,83,5
684,30,3
695,295,4
695,240,2
695,199,3
695,30,4
735,299,2
735,252,5
735,191,3
735,189,5
735,171,4
735,152,5
735,143,5
735,30,3
742,290,5
742,252,5
742,143,2
742,58,4
756,299,4
756,295,4
756,275,4
756,270,4
756,148,5
766,285,4
766,241,5
766,197,5
766,191,3
766,28,1
769,299,3
769,241,4
769,197,3
769,191,1
769,189,2
769,175,3
769,30,4
769,28,4
785,241,3
785,197,4
785,175,4
785,58,5
785,48,4
785,30,4
788,299,5
788,270,4
788,252,3
788,216,4
788,138,3
788,108,1
788,3,3
834,299,4
834,175,4
834,58,5
834,8,1
906,299,2
906,283,4
906,223,4
906,199,2
906,197,3
906,191,3
906,156,2
906,30,4
933,197,1
933,191,1
933,58,3
933,33,4
979,295,3
979,197,5
979,191,3
979,83,4
981,295,4
981,232,4
981,191,5
981,175,1
981,45,4
998,156,1
998,83,4
998,79,3
998,30,2
1038,299,4
1038,257,5
1038,30,4
1044,299,4
1044,241,4
1044,30,3
1067,191,4
1067,175,3
1067,152,5
1070,299,3
1070,152,2
1070,138,5
1082,273,4
1082,232,5
1082,45,4
1086,299,3
1086,290,4
1086,256,3
1086,197,5
1086,143,3
1086,108,3
1086,30,3
1117,290,3
1117,68,1
1146,295,5
1146,268,2
1146,191,2
1146,175,3
1146,173,1
1146,30,3
1186,275,3
1186,270,4
1186,252,3
1186,197,4
1186,173,2
1211,295,3
1211,223,4
1211,30,2
1221,199,4
1221,175,3
1221,152,2
1221,118,3
1221,111,4
1221,48,5
1221,44,4
1276,270,4
1276,215,5
1276,197,3
1276,191,4
1276,175,4
1276,156,3
1276,143,4
1276,133,3
1276,118,3
1276,77,4
1295,191,3
1295,30,3
1310,299,4
1310,295,4
1310,273,4
1310,257,5
1310,148,5
1310,111,4
1310,83,4
1310,78,2
1310,77,3
1310,18,3
1331,270,4
1331,257,4
1331,223,4
1331,191,3
1331,187,3
1331,143,2
1331,28,4
1333,299,4
1333,290,4
1333,281,3
1333,275,4
1333,256,3
1333,253,4
1333,248,4
1333,241,3
1333,223,3
1333,199,4
1333,197,5
1333,191,4
1333,175,5
1333,171,3
1333,167,4
1333,165,4
1333,152,3
1333,148,4
1333,143,5
1333,108,3
1333,83,4
1333,44,4
1333,30,4
1333,28,3
1333,17,3
1357,197,5
1357,191,4
1357,148,3
1357,30,5
1374,270,4
1374,223,4
1385,83,4
1385,28,4
1409,270,3
1409,252,3
1409,241,4
1409,223,3
1409,191,4
1409,143,4
1409,122,4
1409,30,3
1427,299,4
1427,295,3
1427,290,3
1427,275,4
1427,197,3
1427,187,3
1427,175,4
1427,143,3
1427,111,4
1427,97,4
1427,83,4
1427,8,4
1442,269,4
1442,268,4
1442,252,3
1442,197,5
1442,189,4
1442,187,4
1442,175,4
1442,111,4
1442,57,5
1442,30,2
1442,3,3
1457,290,3
1457,283,4
1457,273,3
1457,197,2
1457,191,5
1457,175,4
